Item,Rate
Main Course,
Chicken Mushroom & Babycorn Pizza,Rs.250
Chicken Pizza,Rs.220
Special Chicken Pizza,Rs.250
Chicken Corn Pizza,Rs.230
Chicken Sausage Pizza,Rs.230
Paneer Pizza,Rs.220
Onion Tomato Pizza,Rs.170
Mushroom & Babycorn Pizza,Rs.240
Corn Pizza,Rs.180
Onion Pizza,Rs.160
Breakfast,
Club Sandwich,Rs.180
Chicken Sandwich,Rs.130
Chicken Egg Sandwich,Rs.140
Paneer Sandwich,Rs.130
Veg Sandwich,Rs.110
Potato Sandwich,Rs.110
Country Omelette,Rs.50
Spanish Omelette,Rs.100
Chicken Sausage Omelette,Rs.100
