Item,Rate
Chicken Starter  ,
Tangdi Kebab (4 pc) ,Rs230
Tangdi Kebab (2 pc) ,Rs140
Pahari Kebab (6 pc)* ,Rs180
Chicken Tandoor (F) ,Rs300
Chicken Tandoor (H) ,Rs170
Chicken Tikka ,Rs170
Chicken Reshmi ,Rs180
Chicken Malai Tikka ,Rs190
Chicken Lasuni ,Rs180
Chicken Hariyali ,Rs180
Chicken Puri Kebab (4 pc) ,Rs190
Murg Afgani* ,Rs220
Murg Achari Tikka* ,Rs190
Shik Kebab (20 pc) ,Rs230
Shami Kebab (4 pc) ,Rs190
Murg Sholay (20 pc) ,Rs230
Chicken Boti Kebab (6 pc)* ,Rs200
Chicken Clear Soup ,Rs85
Chicken Hot & Sour Soup ,Rs90
Veg Hot & Sour Soup ,Rs80
Chicken Sweet & Sour Soup ,Rs90
Chicken Noodles Soup ,Rs90
Chicken Sweet Corn Soup ,Rs90
Chicken Cutlet ,Rs70
Chicken Kabiraji ,Rs80
Chicken Pakora (6) ,Rs130
Crispy Chicken ,Rs160
Chicken 65 ,Rs160
Chicken Lollipop (6) ,Rs150
Chicken Drum Stick ,Rs180
Drums of Heaven ,Rs190
Crispy Chicken Honey Sauce ,Rs200
Mangolian Chicken Dry ,Rs200
Fish Starter  ,
Vetki Fish Tikka (4 pc) ,Rs240
Tandoor Prawn (6 pc)* ,Rs350
Tandoor Pomfret (2 pc)* ,Rs350
Vetki Fish Fry ,Rs80
Vetki Fish Finger ,Rs160
Vetki Fish Cutlet ,Rs100
Vetki Fish Kabiraji ,Rs100
Prawn Pakora (6pcs) ,Rs200
Mutton Starter  ,
Mutton Reshmi Kebab* ,
Mutton Kasturi Kebab* ,Rs280
Mutton Boti Kebab* ,Rs260
Mutton Tikka Kebab* ,Rs260
Veg Starter  ,
Veg Seekh Kebab ,Rs160
Tandoori Aloo ,Rs140
Tandoori Aloo Gobi ,Rs140
Sweet Corn Mushroom Soup ,Rs120
Tomato Soup ,Rs80
Mushroom Soup ,Rs90
Veg Sweet & Sour Soup ,Rs80
Veg Sweet Corn Soup ,Rs80
Crispy Baby Corn ,Rs140
Chilli Baby Corn ,Rs150
French Fries ,Rs70
Paneer Starter  ,
Paneer Tikka ,Rs180
Paneer Hariyali Tikka ,Rs190
Paneer Achari Tikka ,Rs190
Paneer Saslik ,Rs190
Paneer Pakora (6) ,Rs140
Chicken Main Course  ,
Chicken Tandoor Butter Masala (F) ,Rs350
Chicken Tandoor Butter Masala (H) ,Rs230
Chicken Tikka Butter Masala ,Rs210
Chicken Reshmi Butter Masala ,Rs220
Chicken Malai Tikka Butter Masala ,Rs240
Chicken Curry ,Rs140
Chicken Chaap ,Rs140
Kadai Murg ,Rs160
Murg Kali Mirch ,Rs170
Chicken Do Pyaza ,Rs140
Chicken Masala ,Rs140
Chicken Korma ,Rs160
Chiken Saag (Seasonal) ,Rs170
Chiken Dhaniawala (4 pc) ,Rs170
Thai Chicken ,Rs220
Chicken Kasa (4 pc) ,Rs140
Murg Musallam* ,Rs500
Chicken Masala ,Rs190
Chicken Korma ,Rs200
Chicken Bharta (F) ,Rs200
Chicken Jalfrezi ,Rs190
Chicken Tadka ,Rs120
Chilli Chicken ,Rs140
Dry Chilli Chicken ,Rs150
Chicken Manchurian ,Rs140
Schezwan Chicken ,Rs160
Lemon Chicken ,Rs130
Crispy Lemon Chicken ,Rs170
Garlic Chicken ,Rs140
Chicken Sweet & Sour ,Rs160
Oyster Chicken (8 pc) ,Rs150
Sesame Oil Chicken(8 pc) ,Rs150
Chilli Garlic Pepper Chicken ,Rs150
Pan Fried Chilli Chicken (8 pc) ,Rs170
Chicken Dry Hot Garlic (8 pc) ,Rs170
Green Chilli Chicken ,Rs160
Mongolic Chicken ,Rs190
Unan Chicken ,Rs160
Chicken With Kaju ,Rs210
Chicken With Mushroom ,Rs190
Chicken With Capsicum ,Rs160
Hong Kong Chicken ,Rs160
Dragon Chicken ,Rs220
Chicken Momo ,Rs70
Fried Chicken Momo ,Rs80
Pan Fried Chicken Momo ,Rs90
Pan Fried Schezwan Momo ,Rs100
Fish Main Course  ,
Fish Tikka Butter Masala (Vetki) ,Rs300
Tandoor Prawn Masala* ,Rs400
Tandoor Pomfret Masala* ,Rs400
Vetki Chilli Fish (6 pc) ,Rs220
Pan Fried Vetki Chilli Fish (6 pc) ,Rs240
Vetki Fish Dry Hot Garlic (6 pc) ,Rs230
Schezwan Fish ,Rs250
Garlic Fish ,Rs230
Manchurian Fish ,Rs230
Sweet & Sour Fish ,Rs240
Dry Hot Garlic Fish ,Rs230
Lemon Fish ,Rs230
Garlic Prawn ,Rs260
Manchurian Prawn ,Rs260
Chilli Prawn ,Rs200
Sweet & Sour Prawn ,Rs200
Dry Hot Garlic Prawn ,Rs270
Schezwan Prawn ,Rs270
Pan Fried Chilli Prawn (6 pc)* ,Rs200
Golden fry prawn Tartar Sauce (4 pc)* ,Rs230
Mutton Main Course  ,
Mutton Tikka (1 pc) ,Rs90
Mutton Pasinda (Boneless) ,Rs230
Mutton Curry (4 pc) ,Rs210
Mutton Kasa (4 pc) ,Rs210
Mutton Chaap (2 pc) ,Rs180
Mutton Rezala ,Rs180
Mutton Kadai (4 pc) ,Rs270
Mutton Korma (4 pc) ,Rs260
Mutton Do Pyaza (4 pc) ,Rs230
Mutton Masala (4 pc) ,Rs230
Mutton Rara (4 pc) ,Rs280
Mutton Rogan Josh (4 pc) ,Rs280
Mutton Malai (4 pc) ,Rs300
Mutton Kofta ,Rs220
Mutton Keema Masala ,Rs230
Mutton Matar Keema Masala ,Rs240
Mutton Saagwala (4 pc) (Seasonal) ,Rs250
Mutton Dum Gosht Handi (4 pc)* ,Rs320
Mutton Kasturi Butter Masala (4 pc) ,Rs340
Mutton Tadka ,Rs170
Rice Main Course  ,
Basmati Rice ,Rs70
Peas Pulao ,Rs90
Veg Pulao ,Rs110
Jeera Rice ,Rs80
Veg Fried Rice ,Rs80
Egg Fried Rice ,Rs90
Chicken Fried Rice (F) ,Rs110
Egg Chicken Fried Rice ,Rs120
Mixed Fried Rice ,Rs160
Mixed Schezwan Fried Rice ,Rs170
Prawn Rice ,Rs170
Egg Prawn Rice ,Rs180
Lemon Rice ,Rs130
Shanghai Fried Rice ,Rs200
Hong Kong Fried Rice ,Rs150
Thai Fried Rice ,Rs170
Ginger Fried Rice ,Rs150
Garlic Fried Rice ,Rs150
Biryani Main Course  ,
Double Egg Biryani ,Rs100
Chicken Biryani ,Rs135
Spcl Chicken Biryani (2 pc) ,Rs220
