Item,Rate
Breakfast  ,
Toasted Bread with Butter ,Rs.45
Puri + Sabji & Sweets ,Rs.55
Boiled Egg (2 pc) ,Rs.40
Masala Omelette ,Rs.45
Paneer Starter  ,
Paneer Pakora (12 pc) ,Rs.75
Paneer Roll ,Rs.40
Chicken Starter  ,
Chicken Pakora (Boneless) (6 pc) ,Rs.125
Dry Chilli Chicken (8 pc) ,Rs.135
Dry Chilli Fish (6 pc) ,Rs.205
Crispy Chicken ,Rs.155
Chicken Lollipop (6 pc) ,Rs.155
Roasted Chicken (H) ,Rs.255
Roasted Chicken (F) ,Rs.455
Chicken Stew ,Rs.135
Chicken Roll ,Rs.50
Egg Chicken Roll ,Rs.60
Fish Starter  ,
Fish Finger (6 pc) ,Rs.205
Veg Starter  ,
Veg Roll ,Rs.30
Egg Starter  ,
Egg Roll ,Rs.40
Rice Main Course  ,
Plain Rice ,Rs.35
Fine Basmati Rice ,Rs.55
Plain Pulao ,Rs.100
Paneer Pulao ,Rs.115
Veg Fried Rice (Indian) ,Rs.115
Veg Fried Rice (Chinese) ,Rs.105
Egg Fried Rice ,Rs.115
Chicken Fried Rice (F) ,Rs.125
Mixed Fried Rice ,Rs.145
Biryani Main Course  ,
Egg Biryani ,Rs.105
Chicken Biryani ,Rs.155
Mutton Biryani ,Rs.175
Chow Main Course  ,
Veg Chow ,Rs.85
Egg Chow Mein (F) ,Rs.95
Chicken Chow Mein (F) ,Rs.105
Mixed Chow ,Rs.125
Veg Main Course  ,
Plain Dal ,Rs.35
Dal Fry ,Rs.65
Dal Makhani ,Rs.75
Plain Tadka ,Rs.70
Aloo Dum ,Rs.55
Veg Meal ,Rs.120
Egg Main Course  ,
Egg Tadka (F) ,Rs.80
Egg Curry (2 pc) ,Rs.45
Egg Meal ,Rs.130
Chicken Main Course  ,
Chicken Tadka ,Rs.95
Chilli Chicken (8 pc) ,Rs.135
Chicken Masala (2 pc) ,Rs.105
Chicken Do Pyaza (2 pc) ,Rs.115
Chicken Special (2 pc) ,Rs.135
Chicken Butter Masala (2 pc) ,Rs.135
Garlic Chicken (8 pc) ,Rs.135
Chicken Meal (2 pc) ,Rs.180
Paneer Main Course  ,
Chilli Paneer (6 pc) ,Rs.105
Aloo Matar Paneer ,Rs.100
Paneer Do Pyaza ,Rs.115
Paneer Butter Masala ,Rs.115
Mutton Main Course  ,
Mutton Kasa (2 pc) ,Rs.135
Mutton Do Pyaza (2 pc) ,Rs.145
Mutton Special ,Rs.155
Mutton Meal (2 pc) ,Rs.220
Accompaniment  ,
Fried Papad ,Rs.10
Onion Salad ,Rs.25
Green Salad ,Rs.35
Roti Main Course  ,
Plain Roti ,Rs.6
Plain Paratha ,Rs.25
Butter Paratha ,Rs.40
Lachha Paratha ,Rs.30
Fish Main Course  ,
Fish Meal ,Rs.160
,
