Item,Rate
Breakfast  ,
Toasted Bread with Jam (Only For Break Fast) ,Rs.56
Toasted Bread with Butter (Only For Break Fast) ,Rs.56
French Toast (Only For Break Fast) ,Rs.71
Veg Sandwich (Only For Break Fast) ,Rs.56
Egg Sandwich (Only For Break Fast) ,Rs.61
Chicken Sandwich (Only For Break Fast) ,Rs.71
Grilled Chicken Sandwich (Only For Break Fast) ,Rs.76
Grilled Corn Sandwich (Only For Break Fast) ,Rs.66
Puri + Sabji Pickles + Sweets (Only For Break Fast) ,Rs.82
Peas Kachori with Aloo Dum + Pickles + Sweets (Only For Break Fast) ,Rs.87
Aloo Paratha (2 pc) + Pickles +Curd (Only For Breakfast) ,Rs.92
Bread Butter Toast + Masala Omelette (2 pc) + Chicken Sausages + French Fries (Only For Break Fast) ,Rs.132
Bread Jam Toast + Masala Omelette (2 pc) + Chicken Sausages + French Fries (Only For Break Fast) ,Rs.132
Boiled Egg (2 pc) ,Rs.36
Masala Omelette ,Rs.41
Spanish Omelette ,Rs.66
Egg Fry ,Rs.41
Scrambled Egg (2 pc) ,Rs.71
Chicken Omelette (3 pc) ,Rs.81
Veg Starter  ,
Finger Chips ,Rs.56
Vegetable Flakes ,Rs.66
Peanut Masala ,Rs.66
Crispy Chilli Potato ,Rs.81
Crispy Baby Corn ,Rs.101
Tomato Soup ,Rs.56
Veg Soup ,Rs.56
Veg Manchow Soup ,Rs.56
Baby Corn Soup ,Rs.66
Egg Starter  ,
Egg Pakora (8 pc) ,Rs.76
Paneer Starter  ,
Paneer Pakora (8 pc) ,Rs.76
Paneer Hariyali Kebab (6pc) ,Rs.186
Chicken Starter  ,
Boneless Chicken Pakora (6 pc) ,Rs.146
Dry Fried Chilli Chicken (6 pc) ,Rs.151
Chicken Crumbles (6 pc) ,Rs.146
Crispy Chicken ,Rs.136
Crispy Chilli Wings ,Rs.116
Boiled Chicken With Corn And Vegetables ,Rs.136
Chicken Clear Soup ,Rs.71
Sweet Corn Chicken Soup ,Rs.76
Hot & Sour Soup (Chicken) ,Rs.76
Chicken Manchow Soup ,Rs.76
Chicken Noodles Soup ,Rs.76
Chicken Reshmi Kebab (6 pc) ,Rs.196
Chicken Chilli Kebab (6 pc) ,Rs.186
Chicken Pudina Kebab (6 pc) ,Rs.196
Banjara Chicken Kebab (6 pc) ,Rs.196
Chicken Tikka Kebab (6 pc) ,Rs.186
Chicken Hariyali Kebab (6 pc) ,Rs.186
Chicken Tandoor (4 pc) ,Rs.350
Chicken Tandoor (2 pc) ,Rs.190
Chicken Kebab In Butter Masala (6 pc),Rs.226
Fish Starter  ,
Fish Finger with French Fries (6 pc) ,Rs.136
Fish Fry (2 pc) ,Rs.136
Fish Butter Fry (2 pc) ,Rs.146
Golden Fried Prawn (6 pc) ,Rs.186
Tomato Soup with Fried Prawn ,Rs.86
Fish Tikka Kebab (6 pc) ,Rs.196
Fish Hariyali Kebab (6 pc) ,Rs.186
Pomfret Tandoor (2 pc) ,Rs.286
Veg Main Course  ,
Mixed Veg ,Rs.76
Boiled Vegetable Mix ,Rs.86
Bhindi Masala ,Rs.71
Aloo Patal (Only For Lunch) ,Rs.71
Aloo Posto (Only For Lunch) ,Rs.71
Stuffed Potato with Palak (Veg) ,Rs.86
Plain Aloo Dum (6 pc) ,Rs.56
Aloo Jeera ,Rs.56
Methi Potato ,Rs.56
Aloo Kurmur ,Rs.36
Kashmiri Dum Aloo (4 pc) ,Rs.101
Dal Fry ,Rs.36
Dal Makhani ,Rs.61
Dhoka Curry (4 pc) (Only For Lunch) ,Rs.76
Veg Jhal Frezy ,Rs.86
Achari Aloo (8 pc) ,Rs.76
Chilli Paneer (6 pc) ,Rs.96
Veg Manchurian (6 pc) ,Rs.96
Veg Sweet & Sour with Baby Corn (6 pc) ,Rs.96
Gobi Manchurian (6 pc) ,Rs.96
Chilli Potato (8 pc) ,Rs.81
Chicken Main Course  ,
Stuffed Potato with Palak (Chicken) ,Rs.86
Chicken Do Pyaza (3 pc) ,Rs.156
Chicken Korma (3 pc) ,Rs.156
Chicken Bharta (F) ,Rs.166
Chicken Stew (2 pc) ,Rs.156
Roasted Chicken (4 pc) ,Rs.481
Roasted Chicken (2 pc) ,Rs.281
Chicken Hariyali (3 pc) ,Rs.156
Chicken Butter Masala (With Bone) (6 pc) ,Rs.156
Chicken Butter Masala (Boneless) (6 pc) ,Rs.176
Kadai Chicken (3 pc) ,Rs.156
Chicken Curry (3 pc) ,Rs.126
Chicken Posto (3 pc) ,Rs.156
Chicken Malai Kofta (4 pc) ,Rs.171
Chicken Achari ,Rs.166
