Item,Rate
Veg Starter  ,
Clear Veg Soup ,Rs.70
Sweet Corn Veg Soup ,Rs.90
Hot & Sour Veg Soup ,Rs.100
Lemon Coriander Veg Soup ,Rs.100
Veg Pakora ,Rs.65
Veg Gold Coin ,Rs.105
Crispy Baby Corn ,Rs.105
Crispy Chilli Baby Corn ,Rs.145
Crispy Chilli Potato ,Rs.75
Potato 65,Rs.105
Chicken Starter  ,
Clear Chicken Soup ,Rs.90
Clear Mixed Soup ,Rs.110
Sweet Corn Soup (Non Veg) ,Rs.110
Manchow Soup (Chicken) ,Rs.110
Hot & Sour Soup (Chicken) ,Rs.130
Lemon Coriander Chicken Soup ,Rs.130
Chicken Pakora With Bone (6 pc) ,Rs.125
Chicken Pakora (Boneless) (6 pc) ,Rs.145
Chicken Lollipop (4 pc) ,Rs.125
Chicken Drums of Heaven (4 pc) ,Rs.145
Chicken 65 (6 pc) ,Rs.165
Chicken Oil Fry (6 pc) ,Rs.145
Crispy Chicken ,Rs.155
Pan Fried Chicken (6 pc) ,Rs.155
Chicken Gold Coin (6 pc) ,Rs.155
Mushroom Starter  ,
Mushroom Soup ,Rs.90
Mushroom Salt & Pepper ,Rs.145
Egg Starter  ,
Manchow Soup (Veg) ,Rs.90
Fish Starter  ,
Manchow Soup (Prawn ) ,Rs.130
Apollo Fish (6 pc) ,Rs.205
Crispy Chilli Prawn ,Rs.255
Fish Salt & Pepper ,Rs.185
Golden Fried Prawn (2 pc) ,Rs.165
Paneer Starter  ,
Paneer Pakora ,Rs.125
Rice Main Course  ,
Steamed Rice ,Rs.65
Jeera Rice ,Rs.125
Kashmiri Pulao ,Rs.165
Navaratna Pulao ,Rs.155
Peas Pulao ,Rs.115
Sri Spl Pulao (Non Veg) ,Rs.205
Veg Pulao ,Rs.135
Chicken Pulao ,Rs.255
Veg Fried Rice ,Rs.105
Egg Fried Rice ,Rs.125
Ginger Capsicum Fried rice ,Rs.145
Singapore Veg Fried Rice ,Rs.145
Singapore Chicken Fried Rice ,Rs.165
Singapore Mixed Fried Rice ,Rs.185
Chicken Fried Rice (F) ,Rs.145
Mixed Fried Rice ,Rs.165
Combination Veg Rice ,Rs.130
Combination Chicken Rice ,Rs.160
Combination Mixed Rice ,Rs.180
Chicken Mushroom Onion Rice ,Rs.190
Brown Garlic Veg Rice ,Rs.155
Brown Garlic Chicken Rice ,Rs.165
Brown Garlic Mixed Rice ,Rs.175
Roti Main Course  ,
Roti ,Rs.6
Lachha Paratha ,Rs.25
Aloo Paratha ,Rs.35
Tandoori Roti ,Rs.20
Butter Tandoori Roti ,Rs.30
Masala Kulcha ,Rs.55
Baby Naan ,Rs.30
Butter Naan ,Rs.45
Garlic Naan ,Rs.55
Cheese Naan ,Rs.65
Special Cheese Naan ,Rs.105
Chow Main Course  ,
Veg Hakka Noodles ,Rs.85
Veg Noodles Gravy ,Rs.100
Chilli Garlic Veg Noodles Hakka ,Rs.95
Chilli Garlic Veg Noodles Gravy ,Rs.120
Butter Fried Noodles ,Rs.145
Egg Noodles Hakka ,Rs.105
Egg Noodles Gravy ,Rs.130
Chicken Noodles (Hakka) ,Rs.125
Chicken Noodles (Gravy) ,Rs.150
Mixed Noodles Hakka ,Rs.145
Mixed Noodles Gravy ,Rs.170
Singapore Chicken Noodles ,Rs.165
Singapore Mixed Noodles ,Rs.185
Hong Kong Chicken Noodles ,Rs.165
Hong Kong Mixed Noodles ,Rs.185
American Chop Suey (Veg) ,Rs.160
American Chop Suey (Chicken) ,Rs.180
American Chop Suey (Mixed) ,Rs.200
Rice Combo  ,
Veg Manchurian (H) + Veg Fried Rice (H) ,Rs.150
Chilli Paneer (H) + Veg Fried Rice (H) ,Rs.160
Chilli Chicken (4 pc) + Veg Fried Rice (H) ,Rs.160
Chilli Fish (3 pc) + Veg Fried Rice (H) ,Rs.170
Double Egg Curry (2 pc) + Steam Rice (F) ,Rs.110
Chicken Currry (2 pc) + Steam Rice (F),Rs.130
Steamed Rice (F) + Dal (H) + Chicken Curry (2 pc) ,Rs.180
Steamed Rice (F) + Dal (H) + Fish Curry (1) ,Rs.200
Egg Main Course  ,
Egg Mughlai ,Rs.60
Egg Full Fry ,Rs.145
Cheese Omelette ,Rs.75
Khara Masala ,Rs.145
Chef Special ,Rs.155
Boiled Fry ,Rs.145
Chicken Main Course  ,
Chicken Mughlai ,Rs.70
Egg Chicken Mughlai ,Rs.100
Kadai Chicken (6 pc) (Boneless) ,Rs.225
Chicken Saagwala (8 pc) ,Rs.205
Dhania Murg (4 pc) ,Rs.165
Chicken Bharta (F) ,Rs.165
Chicken Tikka Butter Masala (8 pc) ,Rs.225
Chicken Reshmi Butter Masala (8 pc) ,Rs.225
Chicken Tangdi Masala ,Rs.255
Butter Chicken (8 pc) (Boneless) ,Rs.245
Chicken Do Pyaza (4 pc) ,Rs.165
Chicken Curry (4 pc) (F) ,Rs.125
