Item,Rate
Dosa Main Course,
Masala Dosa ,Rs.75
Paper Masala Dosa ,Rs.80
Butter Masala Dosa ,Rs.90
Cheese Masala Dosa ,Rs.95
Paper Butter Masala Dosa ,Rs.95
Paper Cheese Masala Dosa ,Rs.100
Butter Cheese Masala Dosa ,Rs.105
Ghee Roast Dosa ,Rs.105
Onion Masala Dosa ,Rs.80
Onion Paper Masala Dosa ,Rs.85
Onion Butter Masala Dosa ,Rs.95
Onion Cheese Masala Dosa ,Rs.100
Onion Paper Butter Masala Dosa ,Rs.100
Onion Paper Cheese Masala Dosa ,Rs.105
Plain Dosa ,Rs.55
Paper Plain Dosa ,Rs.60
Mayonaise Plain Dosa ,Rs.85
Butter Plain Dosa ,Rs.75
Cheese Plain Dosa ,Rs.80
Ghee Plain Dosa ,Rs.90
Paper Butter Plain Dosa ,Rs.80
Paper Cheese Plain Dosa ,Rs.85
Paper Plain Ghee Dosa ,Rs.95
Paper Onion Plain Dosa ,Rs.65
Butter Onion Plain Dosa ,Rs.80
Cheese Onion Plain Dosa ,Rs.90
Butter Onion Paper Plain Dosa ,Rs.85
Cheese Onion Paper Plain Dosa ,Rs.95
Mayonaise Cheese Onion Paper Plain Dosa ,Rs.125
Rawa Dosa ,Rs.80
Paneer Dosa ,Rs.125
Rawa Masala Dosa ,Rs.100
Mysore Dosa ,Rs.130
Tamarind Special Dosa ,Rs.135
Dosa Filled With Mayonaise & Salad ,Rs.125
Jam Dosa ,Rs.85
Choco Spread Dosa ,Rs.105
Veg Hakka Dosa ,Rs.115
Dhania Dosa ,Rs.105
Veg Starter  ,
Onion Pakora (6 pc) ,Rs.65
Palak Pakora ,Rs.55
Samosa (4 pc) ,Rs.65
Rice Main Course  ,
Peas Pulao ,Rs.110
Mix Pulao ,Rs.130
Sambar Rice ,Rs.90
Curd Rice ,Rs.120
Jeera Rice ,Rs.100
Lemon Rice ,Rs.110
Tomato Rice ,Rs.120
Veg Fried Rice ,Rs.115
Paneer Main Course  ,
Paneer Butter Masala (without onion) ,Rs.165
Chilli Paneer ,Rs.165
Veg Main Course  ,
Mix Veg ,Rs.135
Peas Masala ,Rs.105
Matar Paneer ,Rs.145
Sambar ,Rs.45
Veg Raita ,Rs.77
Mixed Raita ,Rs.97
Crispy Fried baby Corn ,Rs.135
Chilli Babycorn ,Rs.145
Veg Manchurian ,Rs.155
Gobi Manchurian ,Rs.145
Chow Main Course  ,
Veg Hakka ,Rs.95
Idli Main Course  ,
Sambar Idli (3 pc) ,Rs.60
Extra Idli (1 pc) ,Rs.25
Fry Idli (2 pc) ,Rs.75
Butter Idlli (2 pc) ,Rs.75
Marathi Idli (2 pc) ,Rs.85
Ghee Idli (2 pc) ,Rs.85
Curd Idli (3 pc) ,Rs.87
Tatte Idli (2 pc) ,Rs.75
French Fry Idli ,Rs.90
Tava Idli (2 pc) ,Rs.95
Chilli Garlic Idli ,Rs.105
Idli Manchurian ,Rs.115
Idli 65 ,Rs.125
Vada Main Course  ,
Medu Vada (1 pc) ,Rs.25
Sambar Vada (2 pc) ,Rs.60
Dahi Vada (2 pc) ,Rs.67
Special Dahi Vada ,Rs.87
Uttapam Main Course  ,
Veg Uttapam ,Rs.105
Masala Uttapam ,Rs.85
Butter Masala Uttapam ,Rs.95
Tomato Uttapam ,Rs.75
Butter Coconut Uttapam ,Rs.95
Cheese Coconut Uttapam ,Rs.105
Mayonese Tomato Uttapam ,Rs.95
Cheese Mayonese Uttapam ,Rs.110
Tamarind Special Uttapam ,Rs.135
Pizza Uttapam ,Rs.160
Onion Uttapam ,Rs.80
Onion Tomato Uttapam ,Rs.85
Onion Masala Uttapam ,Rs.90
Onion Butter Masala Uttapam ,Rs.100
Onion Cheese Mayonese Uttapam ,Rs.105
Onion Butter Tomato Uttapam ,Rs.95
Onion Cheese Tomato Uttapam ,Rs.105
Ghee Roasted Onion Tomato Uttapam ,Rs.115
Other Main Course  ,
Ghee Pongal ,Rs.110
Upma ,Rs.55
Poha ,Rs.55
